tag,replica,regimen,loc,fracTrolls,lambda,rango_final,std_final,median_final,mean_final,prop_neg,median_norm,resid,t_conv,rho_lambdaW,nSCC
n300_trolls0_desconectada_bajo_pr_lam0.10,1,desconectada,bajo_pr,0,0.1,0.903390507616807,0.244380197403634,0.568859161413472,0.547300094894178,0,0.568859161413472,4.3676095595746e-07,5,0.100000000000001,23
n300_trolls0_desconectada_bajo_pr_lam0.10,2,desconectada,bajo_pr,0,0.1,0.929858429083499,0.244570158355573,0.554018881000122,0.548390297483766,0,0.554018881000122,2.74892475449207e-07,5,0.1,16
n300_trolls0_desconectada_bajo_pr_lam0.10,3,desconectada,bajo_pr,0,0.1,0.904636851855044,0.243946667398362,0.565416393978584,0.549260823757551,0,0.565416393978584,1.39076457794651e-07,5,0.100000000000001,17
n300_trolls0_desconectada_bajo_pr_lam0.10,4,desconectada,bajo_pr,0,0.1,0.930699788452998,0.245993624038487,0.562398644866668,0.547565615410222,0,0.562398644866668,2.83476590534626e-07,5,0.1,22
n300_trolls0_desconectada_bajo_pr_lam0.10,5,desconectada,bajo_pr,0,0.1,0.919998500407799,0.244801095995278,0.568331725649181,0.551417091898865,0,0.568331725649181,2.29009154917303e-07,5,0.100000000000001,12
n300_trolls0_desconectada_bajo_pr_lam0.10,6,desconectada,bajo_pr,0,0.1,0.949177199540591,0.244713379072662,0.557358492359113,0.547712860509034,0,0.557358492359113,2.65339990201952e-07,5,0.100000000000002,20
n300_trolls0_desconectada_bajo_pr_lam0.10,7,desconectada,bajo_pr,0,0.1,0.932534489543971,0.243024399791992,0.559030078165574,0.546182569040461,0,0.559030078165574,7.27920110299429e-07,5,0.100000000000001,17
n300_trolls0_desconectada_bajo_pr_lam0.10,8,desconectada,bajo_pr,0,0.1,0.951147617172008,0.242961908314279,0.568023868933203,0.547774430099854,0,0.568023868933203,3.80437517710774e-07,5,0.0999999999999999,23
n300_trolls0_desconectada_bajo_pr_lam0.10,9,desconectada,bajo_pr,0,0.1,0.922720138219745,0.243213537294114,0.563581211582058,0.548163781709401,0,0.563581211582058,1.64273217362343e-07,5,0.100000000000001,20
n300_trolls0_desconectada_bajo_pr_lam0.10,10,desconectada,bajo_pr,0,0.1,0.920580416615007,0.243234707002742,0.555847028170701,0.546949327661452,0,0.555847028170701,3.30690975769432e-07,5,0.100000000000001,13
