tag,replica,regimen,loc,fracTrolls,lambda,rangoFinal,stdFinal,medianFinal,meanFinal,propNeg,medianNorm,NDI,P2,P4,resid,tconv
n300_trolls0_desconectada_bajoPR_lam0.20,1,desconectada,bajoPR,0,0.2,0.848219926087449,0.206366031657077,0.529161372363988,0.55172671089229,0,0.529161372363988,22.1483871382361,0.346847346070508,165.518013267687,1.41014080301538e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,2,desconectada,bajoPR,0,0.2,0.878639722145776,0.207767495410013,0.522984869586945,0.550291544583702,0,0.522984869586945,21.9723739090001,0.345844225082103,165.087463375111,2.82746305479975e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,3,desconectada,bajoPR,0,0.2,0.851707419103449,0.207184242459791,0.533134300711147,0.548551702518774,0,0.533134300711147,22.2066446420863,0.343691196292138,164.565510755632,9.28619380835549e-07,7
n300_trolls0_desconectada_bajoPR_lam0.20,4,desconectada,bajoPR,0,0.2,0.85866202794011,0.207485278305583,0.534635029893986,0.551760736881474,0,0.534635029893986,23.40023594532,0.347346551008487,165.528221064442,2.45405836429846e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,5,desconectada,bajoPR,0,0.2,0.890232551738453,0.2058807775302,0.537707025312454,0.552478943288402,0,0.537707025312454,22.4958592553733,0.347478587684987,165.743682986521,2.40209132584823e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,6,desconectada,bajoPR,0,0.2,0.865996981890465,0.206142558472949,0.532412086516715,0.553459541456649,0,0.532412086516715,22.5045769223183,0.348670569261798,166.037862436995,1.80222547441211e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,7,desconectada,bajoPR,0,0.2,0.876392730530429,0.204992698784796,0.532922033759743,0.551206246607758,0,0.532922033759743,23.9368501712144,0.345710259499303,165.361873982327,1.2812359584391e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,8,desconectada,bajoPR,0,0.2,0.86338103773494,0.206150043354068,0.538581615109128,0.551528287909619,0,0.538581615109128,23.1663817062714,0.346539633271484,165.458486372886,3.80225297635928e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,9,desconectada,bajoPR,0,0.2,0.821585325466743,0.202469430866694,0.526810167655643,0.549646563829017,0,0.526810167655643,24.5057325311103,0.342968569329744,164.893969148705,2.16122673618591e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,10,desconectada,bajoPR,0,0.2,0.837170335923883,0.204762630301668,0.536220866733733,0.553430220676372,0,0.536220866733733,22.632783470132,0.348072984810062,166.029066202912,2.78832085864877e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,11,desconectada,bajoPR,0,0.2,0.892735600081973,0.209252059206933,0.538361971620619,0.549678107934729,0,0.538361971620619,22.1799498490572,0.345786491877438,164.903432380419,3.81700853369082e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,12,desconectada,bajoPR,0,0.2,0.862118373012615,0.206284200156247,0.536448911306584,0.550203779501262,0,0.536448911306584,22.355649465563,0.345135526307462,165.061133850379,1.77733432082938e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,13,desconectada,bajoPR,0,0.2,0.89173557556975,0.209058097466708,0.538681753974488,0.556381252600814,0,0.538681753974488,21.8500777311064,0.353119702068329,166.914375780244,5.21715883383678e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,14,desconectada,bajoPR,0,0.2,0.880350363262502,0.20688132005833,0.530832059406792,0.550656825405052,0,0.530832059406792,22.2776633709785,0.345880153685617,165.197047621515,1.27944660643919e-07,9
n300_trolls0_desconectada_bajoPR_lam0.20,15,desconectada,bajoPR,0,0.2,0.86404744271314,0.209752046663744,0.539973770691563,0.551426113697394,0,0.539973770691563,21.2434489403484,0.347920026876775,165.427834109218,1.6202611718974e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,16,desconectada,bajoPR,0,0.2,0.863756062636383,0.205406357149786,0.534210186577223,0.552039274580823,0,0.534210186577223,22.6851078042487,0.346798492998741,165.611782374247,1.88133279288571e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,17,desconectada,bajoPR,0,0.2,0.817183797098908,0.204882356271427,0.533569152876179,0.551712724818257,0,0.533569152876179,22.9816357286976,0.346223788038013,165.513817445477,3.22802691798962e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,18,desconectada,bajoPR,0,0.2,0.888342411603007,0.206290525041994,0.539275385629844,0.554085279719879,0,0.539275385629844,23.0483852724417,0.349424425321951,166.225583915964,2.83813255508303e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,19,desconectada,bajoPR,0,0.2,0.82920270627787,0.2051097217606,0.530006465043454,0.551155036204915,0,0.530006465043454,23.225440507372,0.345701638568216,165.346510861475,2.7536348062851e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,20,desconectada,bajoPR,0,0.2,0.859289848680639,0.205065737560652,0.534121576983279,0.55258131914922,0,0.534121576983279,22.7099657854759,0.347257897804916,165.774395744766,4.21311607379238e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,21,desconectada,bajoPR,0,0.2,0.878852618603332,0.204903024175871,0.534498033068773,0.553590968005438,0,0.534498033068773,23.5308089477697,0.348308258342561,166.077290401631,2.57626654509568e-07,8
n300_trolls0_desconectada_bajoPR_lam0.20,22,desconectada,bajoPR,0,0.2,0.833755185031635,0.206291404883334,0.541127858453872,0.555081527610704,0,0.541127858453872,22.6919540249642,0.350529792210943,166.524458283211,8.88636304041679e-07,8
