tag,replica,regimen,loc,fracTrolls,lambda,rangoFinal,stdFinal,medianFinal,meanFinal,propNeg,medianNorm,NDI,resid,tconv,rho_lambdaW,nSCC
n300_trolls0_desconectada_bajoPR_lam0.10,1,desconectada,bajoPR,0,0.1,0.914649743413996,0.230354919963466,0.520238144924809,0.551744814882341,0,0.520238144924809,28.8401113797684,1.81234310780987e-07,6,0.100000000000001,18
n300_trolls0_desconectada_bajoPR_lam0.10,2,desconectada,bajoPR,0,0.1,0.915860807346709,0.231056887733128,0.520896308646757,0.551206039714069,0,0.520896308646757,28.5806216992453,2.82997293959975e-07,6,0.1,24
n300_trolls0_desconectada_bajoPR_lam0.10,3,desconectada,bajoPR,0,0.1,0.905590135070877,0.230648922604196,0.524158575090608,0.550123949561032,0,0.524158575090608,28.9504684205308,1.02276184021921e-07,6,0.1,15
n300_trolls0_desconectada_bajoPR_lam0.10,4,desconectada,bajoPR,0,0.1,0.921084437536931,0.230733336542802,0.518485140522247,0.551969738569244,0,0.518485140522247,30.5002356943352,1.73375828138589e-07,6,0.1,18
n300_trolls0_desconectada_bajoPR_lam0.10,5,desconectada,bajoPR,0,0.1,0.940789588193833,0.229983259091067,0.522947327582266,0.55213492082989,0,0.522947327582266,29.6654289685404,2.03107948903991e-07,6,0.100000000000001,25
n300_trolls0_desconectada_bajoPR_lam0.10,6,desconectada,bajoPR,0,0.1,0.926399078110027,0.230178149664469,0.517224932380261,0.552641701451863,0,0.517224932380261,29.5381797779143,1.1420981521626e-07,6,0.100000000000001,35
n300_trolls0_desconectada_bajoPR_lam0.10,7,desconectada,bajoPR,0,0.1,0.910019506236863,0.229448361144206,0.520834021896314,0.551683378424378,0,0.520834021896314,31.445688025546,1.84398697977706e-07,6,0.100000000000001,15
n300_trolls0_desconectada_bajoPR_lam0.10,8,desconectada,bajoPR,0,0.1,0.919760161398943,0.230016234864867,0.52057924048654,0.55172914551794,0,0.52057924048654,30.4844879789858,2.13807486937334e-07,6,0.1,18
n300_trolls0_desconectada_bajoPR_lam0.10,9,desconectada,bajoPR,0,0.1,0.906290018988527,0.228040802946943,0.518553344758863,0.550741960978379,0,0.518553344758863,32.6434733827165,2.06166775623684e-07,6,0.100000000000001,17
n300_trolls0_desconectada_bajoPR_lam0.10,10,desconectada,bajoPR,0,0.1,0.895025580005324,0.229356262995974,0.524695305840413,0.552556442322893,0,0.524695305840413,29.903909663715,1.8991621697495e-07,6,0.100000000000001,29
n300_trolls0_desconectada_bajoPR_lam0.10,11,desconectada,bajoPR,0,0.1,0.941975092719475,0.231613700667363,0.524583572729435,0.550871713238449,0,0.524583572729435,28.9290842445538,2.05277424419892e-07,6,0.100000000000001,20
n300_trolls0_desconectada_bajoPR_lam0.10,12,desconectada,bajoPR,0,0.1,0.927777752349017,0.230238914326989,0.517501725228877,0.551038696384807,0,0.517501725228877,29.1700723210953,1.57890411855988e-07,6,0.100000000000001,22
n300_trolls0_desconectada_bajoPR_lam0.10,13,desconectada,bajoPR,0,0.1,0.938140178343513,0.231606091939806,0.52466201651495,0.554099916949288,0,0.52466201651495,28.4790232211639,4.50469022084121e-07,6,0.100000000000001,23
n300_trolls0_desconectada_bajoPR_lam0.10,14,desconectada,bajoPR,0,0.1,0.925142291537228,0.230499266224628,0.531011173945564,0.55143599056466,0,0.531011173945564,29.1827324481599,4.63043129339535e-07,6,0.100000000000001,21
n300_trolls0_desconectada_bajoPR_lam0.10,15,desconectada,bajoPR,0,0.1,0.927581859510098,0.232129989423419,0.52721064556256,0.551663405474957,0,0.52721064556256,27.463198097934,2.16073324121879e-07,6,0.1,32
n300_trolls0_desconectada_bajoPR_lam0.10,16,desconectada,bajoPR,0,0.1,0.920887643261873,0.229666896373229,0.521263123613202,0.55179139487478,0,0.521263123613202,29.7714124474342,1.44207259467066e-07,6,0.100000000000001,19
n300_trolls0_desconectada_bajoPR_lam0.10,17,desconectada,bajoPR,0,0.1,0.894556773405529,0.229454475804758,0.522267287904974,0.551736566161253,0,0.522267287904974,30.2681634694504,3.83525843528076e-07,6,0.100000000000001,27
n300_trolls0_desconectada_bajoPR_lam0.10,18,desconectada,bajoPR,0,0.1,0.939637447249289,0.230264948746682,0.525813432163334,0.553040196035179,0,0.525813432163334,30.1137560997505,2.27896411741924e-07,6,0.0999999999999999,16
n300_trolls0_desconectada_bajoPR_lam0.10,19,desconectada,bajoPR,0,0.1,0.896629009367809,0.229516115740744,0.521232186416635,0.551496894308911,0,0.521232186416635,30.6890720918658,2.07968667731429e-07,6,0.0999999999999997,20
n300_trolls0_desconectada_bajoPR_lam0.10,20,desconectada,bajoPR,0,0.1,0.919843508432391,0.229594437511309,0.525446178017466,0.552206112056788,0,0.525446178017466,29.8579722263146,1.63356731974762e-07,6,0.100000000000001,27
n300_trolls0_desconectada_bajoPR_lam0.10,21,desconectada,bajoPR,0,0.1,0.937271777476631,0.229504416084468,0.526153281347107,0.552624209162788,0,0.526153281347107,30.9581004770359,2.62122861083292e-07,6,0.100000000000001,13
n300_trolls0_desconectada_bajoPR_lam0.10,22,desconectada,bajoPR,0,0.1,0.920145903530295,0.230316418631527,0.520861854479638,0.5534718754877,0,0.520861854479638,29.9906891297738,4.7060930619125e-07,6,0.100000000000001,21
n300_trolls0_desconectada_bajoPR_lam0.10,23,desconectada,bajoPR,0,0.1,0.907119119291419,0.229008777453923,0.523106667170586,0.551303591942857,0,0.523106667170586,30.0639801042299,1.75368117028007e-07,6,0.0999999999999998,14
